24914 -- Apr 30 01:24:27 localhost CEF:0|Linux|iptables|ver|0|Dropped packet - UDP|0|deviceInboundInterface=enp0s3 dmac=ff:ff:ff:ff:ff:ff smac=50:7b:9d:d3:9e:f6 src=192.168.100.100 dst=192.168.100.255 proto=UDP spt=57621 dpt=57621 rawEvent=Apr 30 01:24:27 localhost kernel: IN=enp0s3 OUT= MAC=ff:ff:ff:ff:ff:ff:50:7b:9d:d3:9e:f6:08:00 SRC=192.168.100.100 DST=192.168.100.255 LEN=72 TOS=0x00 PREC=0x00 TTL=128 ID=14097 PROTO=UDP SPT=57621 DPT=57621 LEN=52 
24994 -- May  3 11:22:08 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50370 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5179 reason=password rawEvent=May  3 11:22:08 localhost sshd[5179]: Failed password for matus from 192.168.100.100 port 50370 ssh2

24995 -- May  3 11:22:09 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50371 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5181 reason=password rawEvent=May  3 11:22:09 localhost sshd[5181]: Failed password for matus from 192.168.100.100 port 50371 ssh2

24996 -- May  3 11:22:10 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50371 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5181 reason=password rawEvent=May  3 11:22:10 localhost sshd[5181]: Failed password for matus from 192.168.100.100 port 50371 ssh2

24997 -- May  3 11:22:49 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:22:49 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput --intevents --debug=1

24998 -- May  3 11:23:04 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50376 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5311 reason=password rawEvent=May  3 11:23:04 localhost sshd[5311]: Failed password for matus from 192.168.100.100 port 50376 ssh2

24999 -- May  3 11:23:04 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50376 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5311 reason=password rawEvent=May  3 11:23:04 localhost sshd[5311]: Failed password for matus from 192.168.100.100 port 50376 ssh2

25000 -- May  3 11:23:09 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50377 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5323 reason=password rawEvent=May  3 11:23:09 localhost sshd[5323]: Failed password for matus from 192.168.100.100 port 50377 ssh2

25001 -- May  3 11:23:09 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50377 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5323 reason=password rawEvent=May  3 11:23:09 localhost sshd[5323]: Failed password for matus from 192.168.100.100 port 50377 ssh2

25002 -- May  3 11:23:13 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50378 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5331 reason=password rawEvent=May  3 11:23:13 localhost sshd[5331]: Failed password for matus from 192.168.100.100 port 50378 ssh2

25003 -- May  3 11:23:15 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50378 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5331 reason=password rawEvent=May  3 11:23:15 localhost sshd[5331]: Failed password for matus from 192.168.100.100 port 50378 ssh2

25004 -- May  3 11:23:26 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50379 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5343 reason=password rawEvent=May  3 11:23:26 localhost sshd[5343]: Failed password for matus from 192.168.100.100 port 50379 ssh2

25005 -- May  3 11:23:26 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50379 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5343 reason=password rawEvent=May  3 11:23:26 localhost sshd[5343]: Failed password for matus from 192.168.100.100 port 50379 ssh2

25006 -- May  3 11:23:36 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50380 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5355 reason=password rawEvent=May  3 11:23:36 localhost sshd[5355]: Failed password for matus from 192.168.100.100 port 50380 ssh2

25007 -- May  3 11:23:37 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50380 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5355 reason=password rawEvent=May  3 11:23:37 localhost sshd[5355]: Failed password for matus from 192.168.100.100 port 50380 ssh2

25008 -- May  3 11:23:40 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50381 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5363 reason=password rawEvent=May  3 11:23:40 localhost sshd[5363]: Failed password for matus from 192.168.100.100 port 50381 ssh2

25009 -- May  3 11:23:40 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50381 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5363 reason=password rawEvent=May  3 11:23:40 localhost sshd[5363]: Failed password for matus from 192.168.100.100 port 50381 ssh2

25010 -- May  3 11:30:02 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:30:02 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput --intevents --debug=7

25011 -- May  3 11:30:13 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50387 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5895 reason=password rawEvent=May  3 11:30:13 localhost sshd[5895]: Failed password for matus from 192.168.100.100 port 50387 ssh2

25012 -- May  3 11:30:14 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50387 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5895 reason=password rawEvent=May  3 11:30:14 localhost sshd[5895]: Failed password for matus from 192.168.100.100 port 50387 ssh2

25013 -- May  3 11:30:18 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50388 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5926 reason=password rawEvent=May  3 11:30:18 localhost sshd[5926]: Failed password for matus from 192.168.100.100 port 50388 ssh2

25014 -- May  3 11:30:18 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50388 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5926 reason=password rawEvent=May  3 11:30:18 localhost sshd[5926]: Failed password for matus from 192.168.100.100 port 50388 ssh2

25015 -- May  3 11:30:23 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50389 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5962 reason=password rawEvent=May  3 11:30:23 localhost sshd[5962]: Failed password for matus from 192.168.100.100 port 50389 ssh2

25016 -- May  3 11:30:23 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50389 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5962 reason=password rawEvent=May  3 11:30:23 localhost sshd[5962]: Failed password for matus from 192.168.100.100 port 50389 ssh2

25017 -- May  3 11:30:26 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50390 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5968 reason=password rawEvent=May  3 11:30:26 localhost sshd[5968]: Failed password for matus from 192.168.100.100 port 50390 ssh2

25018 -- May  3 11:30:27 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50390 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5968 reason=password rawEvent=May  3 11:30:27 localhost sshd[5968]: Failed password for matus from 192.168.100.100 port 50390 ssh2

25019 -- May  3 11:30:32 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50391 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5980 reason=password rawEvent=May  3 11:30:32 localhost sshd[5980]: Failed password for matus from 192.168.100.100 port 50391 ssh2

25020 -- May  3 11:30:32 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50391 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5980 reason=password rawEvent=May  3 11:30:32 localhost sshd[5980]: Failed password for matus from 192.168.100.100 port 50391 ssh2

25021 -- May  3 11:30:36 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50392 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6006 reason=password rawEvent=May  3 11:30:36 localhost sshd[6006]: Failed password for matus from 192.168.100.100 port 50392 ssh2

25022 -- May  3 11:30:37 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50392 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6006 reason=password rawEvent=May  3 11:30:37 localhost sshd[6006]: Failed password for matus from 192.168.100.100 port 50392 ssh2

25023 -- May  3 11:30:41 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50393 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6022 reason=password rawEvent=May  3 11:30:41 localhost sshd[6022]: Failed password for matus from 192.168.100.100 port 50393 ssh2

25024 -- May  3 11:30:41 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50393 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6022 reason=password rawEvent=May  3 11:30:41 localhost sshd[6022]: Failed password for matus from 192.168.100.100 port 50393 ssh2

25025 -- May  3 11:31:01 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50397 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6051 reason=password rawEvent=May  3 11:31:01 localhost sshd[6051]: Failed password for matus from 192.168.100.100 port 50397 ssh2

25026 -- May  3 11:31:02 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50397 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6051 reason=password rawEvent=May  3 11:31:02 localhost sshd[6051]: Failed password for matus from 192.168.100.100 port 50397 ssh2

25027 -- May  3 11:31:04 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50398 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6059 reason=password rawEvent=May  3 11:31:04 localhost sshd[6059]: Failed password for matus from 192.168.100.100 port 50398 ssh2

25028 -- May  3 11:31:04 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50398 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6059 reason=password rawEvent=May  3 11:31:04 localhost sshd[6059]: Failed password for matus from 192.168.100.100 port 50398 ssh2

25029 -- May  3 11:31:12 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50399 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6067 reason=password rawEvent=May  3 11:31:12 localhost sshd[6067]: Failed password for matus from 192.168.100.100 port 50399 ssh2

25030 -- May  3 11:31:12 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50399 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6067 reason=password rawEvent=May  3 11:31:12 localhost sshd[6067]: Failed password for matus from 192.168.100.100 port 50399 ssh2

25031 -- May  3 11:31:13 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50399 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6067 reason=password rawEvent=May  3 11:31:13 localhost sshd[6067]: Failed password for matus from 192.168.100.100 port 50399 ssh2

25032 -- May  3 11:31:15 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50400 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6091 reason=password rawEvent=May  3 11:31:15 localhost sshd[6091]: Failed password for matus from 192.168.100.100 port 50400 ssh2

25033 -- May  3 11:31:15 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50400 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6091 reason=password rawEvent=May  3 11:31:15 localhost sshd[6091]: Failed password for matus from 192.168.100.100 port 50400 ssh2

25034 -- May  3 11:31:18 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50404 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6100 reason=password rawEvent=May  3 11:31:18 localhost sshd[6100]: Failed password for matus from 192.168.100.100 port 50404 ssh2

25035 -- May  3 11:31:18 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50404 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6100 reason=password rawEvent=May  3 11:31:18 localhost sshd[6100]: Failed password for matus from 192.168.100.100 port 50404 ssh2

25036 -- May  3 11:31:21 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50405 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6106 reason=password rawEvent=May  3 11:31:21 localhost sshd[6106]: Failed password for matus from 192.168.100.100 port 50405 ssh2

25037 -- May  3 11:31:21 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50405 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6106 reason=password rawEvent=May  3 11:31:21 localhost sshd[6106]: Failed password for matus from 192.168.100.100 port 50405 ssh2

25038 -- May  3 11:31:26 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50406 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6114 reason=password rawEvent=May  3 11:31:26 localhost sshd[6114]: Failed password for matus from 192.168.100.100 port 50406 ssh2

25039 -- May  3 11:31:26 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50406 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6114 reason=password rawEvent=May  3 11:31:26 localhost sshd[6114]: Failed password for matus from 192.168.100.100 port 50406 ssh2

25040 -- May  3 11:31:28 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50407 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6122 reason=password rawEvent=May  3 11:31:28 localhost sshd[6122]: Failed password for matus from 192.168.100.100 port 50407 ssh2

25041 -- May  3 11:31:29 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50407 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6122 reason=password rawEvent=May  3 11:31:29 localhost sshd[6122]: Failed password for matus from 192.168.100.100 port 50407 ssh2

25042 -- May  3 11:31:30 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50408 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6124 reason=password rawEvent=May  3 11:31:30 localhost sshd[6124]: Failed password for matus from 192.168.100.100 port 50408 ssh2

25043 -- May  3 11:31:31 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50408 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6124 reason=password rawEvent=May  3 11:31:31 localhost sshd[6124]: Failed password for matus from 192.168.100.100 port 50408 ssh2

25044 -- May  3 11:31:33 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50409 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6130 reason=password rawEvent=May  3 11:31:33 localhost sshd[6130]: Failed password for matus from 192.168.100.100 port 50409 ssh2

25045 -- May  3 11:31:35 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50409 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6130 reason=password rawEvent=May  3 11:31:35 localhost sshd[6130]: Failed password for matus from 192.168.100.100 port 50409 ssh2

25046 -- May  3 11:31:37 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50410 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6139 reason=password rawEvent=May  3 11:31:37 localhost sshd[6139]: Failed password for matus from 192.168.100.100 port 50410 ssh2

25047 -- May  3 11:31:38 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50410 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6139 reason=password rawEvent=May  3 11:31:38 localhost sshd[6139]: Failed password for matus from 192.168.100.100 port 50410 ssh2

25048 -- May  3 11:31:40 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50411 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6147 reason=password rawEvent=May  3 11:31:40 localhost sshd[6147]: Failed password for matus from 192.168.100.100 port 50411 ssh2

25049 -- May  3 11:31:41 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50411 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6147 reason=password rawEvent=May  3 11:31:41 localhost sshd[6147]: Failed password for matus from 192.168.100.100 port 50411 ssh2

25050 -- May  3 11:31:44 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50412 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6155 reason=password rawEvent=May  3 11:31:44 localhost sshd[6155]: Failed password for matus from 192.168.100.100 port 50412 ssh2

25051 -- May  3 11:31:44 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50412 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=6155 reason=password rawEvent=May  3 11:31:44 localhost sshd[6155]: Failed password for matus from 192.168.100.100 port 50412 ssh2

25052 -- May  3 11:34:27 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:34:27 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput --intevents --debug=7

25053 -- May  3 11:35:02 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:35:02 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput --intevents --debug=7

25054 -- May  3 11:35:11 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:35:11 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput --intevents --debug=7

25055 -- May  3 11:35:49 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:35:49 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput --intevents --debug=7

25056 -- May  3 11:35:58 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50419 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6448 reason=password rawEvent=May  3 11:35:58 localhost sshd[6448]: Failed password for secmon from 192.168.100.100 port 50419 ssh2

25057 -- May  3 11:35:59 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50419 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6448 reason=password rawEvent=May  3 11:35:59 localhost sshd[6448]: Failed password for secmon from 192.168.100.100 port 50419 ssh2

25058 -- May  3 11:36:01 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50420 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6470 reason=password rawEvent=May  3 11:36:01 localhost sshd[6470]: Failed password for secmon from 192.168.100.100 port 50420 ssh2

25059 -- May  3 11:36:06 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50420 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6470 reason=password rawEvent=May  3 11:36:06 localhost sshd[6470]: Failed password for secmon from 192.168.100.100 port 50420 ssh2

25060 -- May  3 11:36:08 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50421 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6500 reason=password rawEvent=May  3 11:36:08 localhost sshd[6500]: Failed password for secmon from 192.168.100.100 port 50421 ssh2

25061 -- May  3 11:36:09 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50421 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6500 reason=password rawEvent=May  3 11:36:09 localhost sshd[6500]: Failed password for secmon from 192.168.100.100 port 50421 ssh2

25062 -- May  3 11:36:11 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50422 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6506 reason=password rawEvent=May  3 11:36:11 localhost sshd[6506]: Failed password for secmon from 192.168.100.100 port 50422 ssh2

25063 -- May  3 11:36:12 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50422 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6506 reason=password rawEvent=May  3 11:36:12 localhost sshd[6506]: Failed password for secmon from 192.168.100.100 port 50422 ssh2

25064 -- May  3 11:36:14 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50423 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6511 reason=password rawEvent=May  3 11:36:14 localhost sshd[6511]: Failed password for secmon from 192.168.100.100 port 50423 ssh2

25065 -- May  3 11:36:14 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50423 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6511 reason=password rawEvent=May  3 11:36:14 localhost sshd[6511]: Failed password for secmon from 192.168.100.100 port 50423 ssh2

25066 -- May  3 11:36:18 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50425 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6516 reason=password rawEvent=May  3 11:36:18 localhost sshd[6516]: Failed password for secmon from 192.168.100.100 port 50425 ssh2

25067 -- May  3 11:36:18 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50425 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6516 reason=password rawEvent=May  3 11:36:18 localhost sshd[6516]: Failed password for secmon from 192.168.100.100 port 50425 ssh2

25068 -- May  3 11:36:21 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50426 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6522 reason=password rawEvent=May  3 11:36:21 localhost sshd[6522]: Failed password for secmon from 192.168.100.100 port 50426 ssh2

25069 -- May  3 11:36:22 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50426 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6522 reason=password rawEvent=May  3 11:36:22 localhost sshd[6522]: Failed password for secmon from 192.168.100.100 port 50426 ssh2

25070 -- May  3 11:36:26 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50427 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6528 reason=password rawEvent=May  3 11:36:26 localhost sshd[6528]: Failed password for secmon from 192.168.100.100 port 50427 ssh2

25071 -- May  3 11:36:26 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50427 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6528 reason=password rawEvent=May  3 11:36:26 localhost sshd[6528]: Failed password for secmon from 192.168.100.100 port 50427 ssh2

25072 -- May  3 11:36:33 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50429 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6538 reason=password rawEvent=May  3 11:36:33 localhost sshd[6538]: Failed password for secmon from 192.168.100.100 port 50429 ssh2

25073 -- May  3 11:36:33 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50429 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6538 reason=password rawEvent=May  3 11:36:33 localhost sshd[6538]: Failed password for secmon from 192.168.100.100 port 50429 ssh2

25074 -- May  3 11:36:37 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50430 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6544 reason=password rawEvent=May  3 11:36:37 localhost sshd[6544]: Failed password for secmon from 192.168.100.100 port 50430 ssh2

25075 -- May  3 11:36:38 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50430 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6544 reason=password rawEvent=May  3 11:36:38 localhost sshd[6544]: Failed password for secmon from 192.168.100.100 port 50430 ssh2

25076 -- May  3 11:36:40 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50431 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6549 reason=password rawEvent=May  3 11:36:40 localhost sshd[6549]: Failed password for secmon from 192.168.100.100 port 50431 ssh2

25077 -- May  3 11:36:40 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50431 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=6549 reason=password rawEvent=May  3 11:36:40 localhost sshd[6549]: Failed password for secmon from 192.168.100.100 port 50431 ssh2

